ID,スキー場名（日本語）,都道府県,地域（Region）,公式英語名称 (Official English Name)
369,AM福井勝山マウンテンリゾート,福井県,chubu,Ski Jam Katsuyama
370,福井和泉スキー場,福井県,chubu,Fukui Izumi Ski Area
371,スノーパーク イエティ,静岡県,chubu,Snow Park Yeti
372,リバウェル井川スキー場,静岡県,chubu,Riverwell Ikawa Ski Area
373,アウトドアイン母袋スキー場,岐阜県,chubu,Outdoor Inn Motai
374,めいほうスキー場,岐阜県,chubu,Meiho Ski Resort
375,ホワイトピアたかす,岐阜県,chubu,White Pia Takasu
376,郡上ヴァカンス村スキー場,岐阜県,chubu,Gujo Vacance Mura Ski Area
377,ひるがの高原スキー場,岐阜県,chubu,Hirugano Kogen Ski Area
378,鷲ヶ岳スキー場,岐阜県,chubu,Washigatake Ski Area
379,ダイナランド,岐阜県,chubu,Dynaland
380,高鷲スノーパーク,岐阜県,chubu,Takasu Snow Park
381,ウイングヒルズ白鳥リゾート,岐阜県,chubu,Winghills Shirotori Resort
382,スノーウェーブパーク白鳥高原,岐阜県,chubu,Snow Wave Park Shiratori Kogen
383,平湯温泉スキー場,岐阜県,chubu,Hirayu Onsen Ski Area
384,荘川高原スキー場,岐阜県,chubu,Shokawa Kogen Ski Area
385,飛騨ほおのき平スキー場,岐阜県,chubu,Hida Honokidaira Ski Area
386,高山市民スキー場,岐阜県,chubu,Takayama Shimin Ski Area
387,飛騨高山スキー場,岐阜県,chubu,Hida Takayama Ski Area
388,ひだ舟山リゾートアルコピア,岐阜県,chubu,Hida Funayama Snow Resort Alcopia
389,ひだ流葉スキー場,岐阜県,chubu,Star Spur Ryokufu Resort Hida Nagareha
390,飛騨かわいスキー場,岐阜県,chubu,Hida Kawai Ski Area
391,茶臼山高原スキー場,愛知県,chubu,Chausuyama Kogen Ski Area
392,御在所スキー場,三重県,kansai,Gozaisho Ski Area
393,グランスノー奥伊吹,滋賀県,kansai,Gransnow Okuibuki
394,びわ湖バレイ,滋賀県,kansai,Biwako Valley
395,Ohana Resort,滋賀県,kansai,Ohana Resort
396,箱館山スキー場,滋賀県,kansai,Hakodateyama Ski Area
397,朽木スキー場,滋賀県,kansai,Kutsuki Ski Area
398,マキノスキー場,滋賀県,kansai,Makino Kogen Ski Area
399,赤子山スキー場,滋賀県,kansai,Akagoyama Ski Area
400,余呉高原リゾート・ヤップスキー場,滋賀県,kansai,Yogo Kogen Resort Yap
401,京都広河原スキー場,京都府,kansai,Kyoto Hirogawara Ski Area
402,森林公園スイス村スキー場,京都府,kansai,Swiss Mura Ski Area
403,神鍋高原スキー場,兵庫県,kansai,Kannabe Kogen Ski Area
404,奥神鍋スキー場,兵庫県,kansai,Oku Kannabe Ski Area
405,万場スキー場,兵庫県,kansai,Manba Ski Area
406,但馬牧場公園スキー場,兵庫県,kansai,Tajima Bokujo Koen Ski Area
407,おじろスキー場,兵庫県,kansai,Ojiro Ski Area
408,スカイバレイスキー場,兵庫県,kansai,Sky Valley Ski Resort
409,ハチ北高原スキー場,兵庫県,kansai,Hachi Kita Kogen Ski Area
410,ハチ高原スキー場,兵庫県,kansai,Hachi Kogen Ski Area
411,ハイパーボウル東鉢,兵庫県,kansai,Hyperbowl Tohachi Ski Area
412,氷ノ山国際スキー場,兵庫県,kansai,Hyonosen Kokusai Ski Area
413,若杉高原おおやスキー場,兵庫県,kansai,Wakasugi Kogen Oya Ski Area
414,ばんしゅう戸倉スノーパーク,兵庫県,kansai,Banshu Tokura Snow Park
415,ちくさ高原スキー場,兵庫県,kansai,Chikusa Kogen Ski Area
416,峰山高原リゾート ホワイトピーク,兵庫県,kansai,Mineyama Kogen Resort WHITE PEAK
417,六甲山スノーパーク,兵庫県,kansai,Rokkosan Snow Park
418,スノーパーク洞川,奈良県,kansai,Snow Park Dorogawa
419,高野山スキー場,和歌山県,kansai,Koyasan Ski Area
420,鏡ヶ成スキー場,鳥取県,chugoku,Kagamiganaru Ski Area
421,だいせんホワイトリゾート,鳥取県,chugoku,Daisen White Resort
422,大山ますみず高原スノーパーク,鳥取県,chugoku,Daisen Masumizu Kogen Snow Park
423,わかさ氷ノ山スキー場,鳥取県,chugoku,Wakasa Hyonosen Ski Area
424,安蔵公園スキー場,鳥取県,chugoku,Azo Koen Ski Area
425,琴引フォレストパーク,島根県,chugoku,Kotobiki Forest Park
426,三井野原スキー場,島根県,chugoku,Miinohara Ski Area
427,瑞穂ハイランド,島根県,chugoku,Mizuho Highland
428,いぶきの里スキー場,岡山県,chugoku,Ibuki no Sato Ski Area
429,恩原高原スキー場,岡山県,chugoku,Onbara Kogen Ski Area
430,ひるぜんベアバレースキー場,岡山県,chugoku,Hiruzen Bear Valley Ski Area
431,ひるぜんキッズスノーパーク,岡山県,chugoku,Hiruzen Kids Snow Park
432,津黒高原スキー場,岡山県,chugoku,Tsuguro Kogen Ski Area
433,恐羅漢スキー場,広島県,chugoku,Osorakan Snow Park
434,道後山高原スキー場,広島県,chugoku,Dogoyama Kogen Ski Area
435,芸北高原大佐スキー場,広島県,chugoku,Geihoku Kogen Osa Ski Area
436,県立もみのき森林公園,広島県,chugoku,Mominoki Shinrin Koen
437,ひろしま県民の森スキー場,広島県,chugoku,Hiroshima Kenmin no Mori
438,めがひらスキー場,広島県,chugoku,Megahira Onsen Megahira
439,やわたハイランド191リゾート,広島県,chugoku,Yawata Highland 191 Resort
440,ユートピアサイオト,広島県,chugoku,Utopia Saioto
441,りんご今日話国スキー場,広島県,chugoku,Ringo Kyowakoku Ski Area
442,十種ヶ峰スキー場,山口県,chugoku,Tokusagamine Ski Area
443,石鎚スキー場,愛媛県,shikoku,Ishizuchi Ski Area
444,久万スキーランド,愛媛県,shikoku,Kuma Ski Land
445,SOL-FAオダスキーゲレンデ,愛媛県,shikoku,SOL-FA Oda Ski Area
446,プラーナ,愛媛県,shikoku,Plana Ski Area
447,井川スキー場腕山,徳島県,shikoku,Ikawa Kainayama Ski Area
448,剣山スキー場,徳島県,shikoku,Kenzan Ski Area
449,九重森林公園スキー場,大分県,kyushu,Kujyu Shinrin Koen Ski Area
450,五ヶ瀬ハイランドスキー場,宮崎県,kyushu,Gokase Highland Ski Area
451,ぶどうスノーリゾート,新潟県,niigata,Budoh Snow Resort
452,札幌藻岩山スキー場,北海道,hokkaido,Sapporo Moiwayama Ski Area
453,札幌国際スキー場,北海道,hokkaido,Sapporo Kokusai Ski Area
454,サッポロテイネ,北海道,hokkaido,Sapporo Teine
455,さっぽろばんけいスキー場,北海道,hokkaido,Sapporo Bankei Ski Area
456,箕輪スキー場,福島県,tohoku,Minowa Ski Area
457,菅平高原奥ダボススキー場,長野県,nagano,Sugadaira Kogen Oku Davos Ski Area
458,菅平高原パインビークスキー場,長野県,nagano,Sugadaira Kogen Pine Beak Ski Area
459,菅平高原天狗スキー場,長野県,nagano,Sugadaira Kogen Tengu Ski Area
460,木島平スキー場,長野県,nagano,Kijimadaira Ski Area
